genre/subgenre  recordings  releasegroups
blues   15703   4231
blues---acousticblues   203 100
blues---chicagoblues    1295    409
blues---classicblues    2110    753
blues---countryblues    746 275
blues---deltablues  1757    499
blues---electricblues   1050    561
blues---jazzblues   454 291
blues---doowop  2123    944
blues---doo-wop  2123    944
blues---modernblues 506 296
christian   1985    677
christian---christianrock   1211    383
christian---contemporarychristian   726 265
christmas/holiday   3597    1253
christmas/holiday---holiday 1378    568
classical   7058    2329
classical---baroque 650 282
classical---contemporaryclassical   1802    689
classical---opera   680 325
classical---symphony    689 289
country 20646   5357
country---alternativecountry    3336    1216
country---americana 3928    1515
country---bluegrass 1713    546
country---classiccountry    4610    1728
country---countryfolk   230 151
country---countrypop    919 427
country---countryrock   1335    743
country---honkytonk 653 318
country---linedance 460 329
country---moderncountry 1106    508
country---oldcountry    379 274
country---traditionalcountry    613 251
country---western   168 136
electronic  84325   22931
electronic---dance   10379   4886
electronic---club    3083    1647
electronic---eurodance   2643    1232
electronic---ambienttrance   737 208
electronic---edm 1319    404
electronic---eurohouse   557 194
electronic---funkyhouse  120 72
electronic---progressivehouse    4305    1104
electronic---rave    463 139
electronic---abstract   213 134
electronic---acid   477 320
electronic---alternativedance   197 121
electronic---ambient    15021   5950
electronic---newage  3511    1144
electronic---avantgardepop  344 130
electronic---bigbeat    858 390
electronic---breakbeat  1244    733
electronic---breakcore  754 249
electronic---gabber  754 249
electronic---breaks 545 315
electronic---chiptune   735 266
electronic---dancepunk  225 119
electronic---darkambient    3352    1326
electronic---darkelectro    947 437
electronic---deephouse  1058    673
electronic---downtempo  6195    2824
electronic---drumnbass  3935    1408
electronic---dubstep    2618    949
electronic---ebm    3501    1100
electronic---electroclash   956 430
electronic---electrofunk    186 153
electronic---electrohouse   784 477
electronic---electroindustrial  593 302
electronic---electronicrock 546 340
electronic---electropop 2529    1360
electronic---electropunk    198 116
electronic---elektro    6638    3317
electronic---electronica    6638    3317
electronic---funkyhouse 311 222
electronic---futurepop  1058    332
electronic---glitch 930 465
electronic---happyhardcore  424 196
electronic---hardtrance 335 215
electronic---house  7381    3273
electronic---idm    3754    1363
electronic---indietronica   1361    672
electronic---industrial 9101    2797
electronic---industrialmetal    2385    718
electronic---industrialrock 1664    490
electronic---jungle 835 399
electronic---melodictrance  231 149
electronic---metrodowntempo 827 601
electronic---metroelectronica   257 205
electronic---minimal    2974    1401
electronic---postclassical  434 116
electronic---progressivehouse   1068    564
electronic---progressivetrance  1995    723
electronic---psytrance  1156    459
electronic---rave   717 439
electronic---synthpop   5978    2199
